incident_id,incident_date,incident_type,severity,affected_systems,source_ip,destination_ip,attack_vector,impact_score,resolved,resolution_time_hours,detected_by,region,industry
INC001,2024-01-15,Malware,High,Web Server,192.168.1.100,10.0.0.50,Email Phishing,8.5,TRUE,24,IDS,North America,Finance
INC002,2024-01-16,DDoS,Critical,API Gateway,203.0.113.10,10.0.0.51,Botnet,9.2,TRUE,6,WAF,Europe,Technology
INC003,2024-01-17,Data Breach,Critical,Database,198.51.100.25,10.0.0.52,SQL Injection,9.8,TRUE,48,SIEM,Asia,Healthcare
INC004,2024-01-18,Unauthorized Access,Medium,File Server,192.0.2.30,10.0.0.53,Credential Stuffing,6.5,TRUE,12,User Report,North America,Retail
INC005,2024-01-19,Ransomware,Critical,Workstation,203.0.113.45,10.0.0.54,Malicious Download,9.5,TRUE,72,EDR,Europe,Manufacturing
INC006,2024-01-20,Phishing,Medium,Email Server,198.51.100.60,10.0.0.55,Spear Phishing,5.8,TRUE,8,Email Gateway,Asia,Education
INC007,2024-01-21,Malware,High,Database,192.168.1.120,10.0.0.56,Drive-by Download,7.9,TRUE,16,Antivirus,North America,Finance
INC008,2024-01-22,Insider Threat,High,CRM System,10.0.0.100,10.0.0.57,Privilege Abuse,8.2,FALSE,NULL,DLP,Europe,Technology
INC009,2024-01-23,Zero-Day Exploit,Critical,Network Infrastructure,203.0.113.80,10.0.0.58,Zero-Day Exploit,9.9,FALSE,NULL,Threat Intel,Asia,Government
INC010,2024-01-24,Brute Force,Low,Admin Portal,198.51.100.95,10.0.0.59,Password Attack,4.2,TRUE,2,Failed Login Monitor,North America,Healthcare
INC011,2024-01-25,Data Exfiltration,High,File Server,192.0.2.110,10.0.0.60,Unauthorized Transfer,8.7,TRUE,36,DLP,Europe,Finance
INC012,2024-01-26,Malware,Medium,Workstation,203.0.113.120,10.0.0.61,USB Drive,6.0,TRUE,10,EDR,Asia,Manufacturing
INC013,2024-01-27,SQL Injection,High,Web Application,198.51.100.130,10.0.0.62,SQL Injection,7.5,TRUE,14,WAF,North America,Retail
INC014,2024-01-28,DDoS,High,DNS Server,192.168.1.150,10.0.0.63,DNS Amplification,8.0,TRUE,4,Network Monitor,Europe,Technology
INC015,2024-01-29,Phishing,Low,Email Server,203.0.113.160,10.0.0.64,Generic Phishing,3.5,TRUE,6,User Report,Asia,Education
INC016,2024-01-30,Malware,Critical,Payment System,198.51.100.170,10.0.0.65,POS Malware,9.3,TRUE,48,Transaction Monitor,North America,Retail
INC017,2024-02-01,Unauthorized Access,Medium,VPN Gateway,192.0.2.180,10.0.0.66,VPN Exploit,6.8,TRUE,18,VPN Logs,Europe,Healthcare
INC018,2024-02-02,Ransomware,Critical,Database,203.0.113.190,10.0.0.67,Email Attachment,9.7,FALSE,NULL,Backup System,Asia,Finance
INC019,2024-02-03,Data Breach,High,Customer DB,198.51.100.200,10.0.0.68,API Vulnerability,8.9,TRUE,60,Security Audit,North America,Technology
INC020,2024-02-04,Malware,Medium,Email Server,192.168.1.210,10.0.0.69,Macro Virus,5.5,TRUE,8,Email Gateway,Europe,Manufacturing
INC021,2024-02-05,Phishing,High,Office 365,203.0.113.15,10.0.0.70,Credential Harvesting,7.8,TRUE,12,Email Gateway,North America,Finance
INC022,2024-02-06,DDoS,Critical,Load Balancer,198.51.100.35,10.0.0.71,SYN Flood,9.1,TRUE,8,Network Monitor,Asia,E-commerce
INC023,2024-02-07,Insider Threat,Medium,HR System,10.0.0.105,10.0.0.72,Data Theft,6.9,TRUE,24,DLP,Europe,Healthcare
INC024,2024-02-08,Ransomware,Critical,File Server,192.0.2.45,10.0.0.73,RDP Exploit,9.6,TRUE,96,EDR,South America,Manufacturing
INC025,2024-02-09,Malware,Low,Desktop,203.0.113.55,10.0.0.74,Adware,3.2,TRUE,4,Antivirus,North America,Retail
INC026,2024-02-10,SQL Injection,High,E-commerce Site,198.51.100.75,10.0.0.75,Form Injection,8.3,TRUE,20,WAF,Europe,Retail
INC027,2024-02-11,Data Breach,Critical,Payment Gateway,192.168.1.95,10.0.0.76,Memory Scraping,9.4,TRUE,72,Fraud Detection,Asia,Finance
INC028,2024-02-12,Phishing,Medium,Corporate Email,203.0.113.105,10.0.0.77,Business Email Compromise,7.2,TRUE,16,User Report,North America,Technology
INC029,2024-02-13,DDoS,High,Web Server,198.51.100.115,10.0.0.78,HTTP Flood,8.1,TRUE,6,CDN,Europe,Media
INC030,2024-02-14,Malware,Critical,SCADA System,192.0.2.125,10.0.0.79,Industrial Malware,9.8,FALSE,NULL,ICS Monitor,Asia,Energy
INC031,2024-02-15,Unauthorized Access,High,Cloud Storage,203.0.113.135,10.0.0.80,Misconfiguration,8.4,TRUE,28,Cloud Security,South America,Technology
INC032,2024-02-16,Ransomware,Critical,Hospital Network,198.51.100.145,10.0.0.81,Phishing Email,9.9,TRUE,120,EDR,North America,Healthcare
INC033,2024-02-17,Malware,Medium,Laptop,192.168.1.165,10.0.0.82,Trojan,6.3,TRUE,10,Antivirus,Europe,Education
INC034,2024-02-18,Data Exfiltration,High,Research DB,203.0.113.175,10.0.0.83,FTP Transfer,8.6,TRUE,40,DLP,Asia,Pharmaceutical
INC035,2024-02-19,Phishing,Low,Personal Email,198.51.100.185,10.0.0.84,Lottery Scam,2.8,TRUE,2,User Report,North America,Retail
INC036,2024-02-20,DDoS,Critical,DNS Infrastructure,192.0.2.195,10.0.0.85,Reflection Attack,9.3,TRUE,10,ISP,Europe,Telecommunications
INC037,2024-02-21,SQL Injection,High,Customer Portal,203.0.113.205,10.0.0.86,Union-based Injection,7.7,TRUE,18,Penetration Test,Asia,Insurance
INC038,2024-02-22,Malware,High,Server Farm,198.51.100.215,10.0.0.87,Cryptominer,8.0,TRUE,32,Performance Monitor,South America,Hosting
INC039,2024-02-23,Insider Threat,Critical,Intellectual Property,10.0.0.110,10.0.0.88,Unauthorized Download,9.2,FALSE,NULL,DLP,North America,Technology
INC040,2024-02-24,Ransomware,High,Municipal Systems,192.168.1.225,10.0.0.89,Supply Chain Attack,8.8,TRUE,84,Security Team,Europe,Government
INC041,2024-02-25,Phishing,Medium,Tax Department,203.0.113.25,10.0.0.90,Tax Scam,6.7,TRUE,14,Email Gateway,North America,Government
INC042,2024-02-26,Data Breach,Critical,Credit Card DB,198.51.100.40,10.0.0.91,SQL Injection,9.7,TRUE,56,PCI Scanner,Asia,Finance
INC043,2024-02-27,Malware,Medium,Mobile Device,192.0.2.50,10.0.0.92,Spyware,6.1,TRUE,12,MDM,Europe,Technology
INC044,2024-02-28,DDoS,High,Gaming Server,203.0.113.65,10.0.0.93,UDP Flood,7.9,TRUE,5,Game Monitor,North America,Entertainment
INC045,2024-02-29,Unauthorized Access,Medium,Admin Panel,198.51.100.80,10.0.0.94,Default Credentials,6.4,TRUE,8,Security Scan,South America,E-commerce
INC046,2024-03-01,Ransomware,Critical,Backup Server,192.168.1.100,10.0.0.95,Worm Propagation,9.5,TRUE,108,Backup Alert,Asia,Healthcare
INC047,2024-03-02,Malware,Low,Test Environment,203.0.113.110,10.0.0.96,Proof of Concept,3.8,TRUE,6,DevOps,Europe,Technology
INC048,2024-03-03,SQL Injection,Critical,Banking Portal,198.51.100.125,10.0.0.97,Blind SQL Injection,9.1,TRUE,36,WAF,North America,Finance
INC049,2024-03-04,Phishing,High,Executive Team,192.0.2.140,10.0.0.98,Whaling,8.5,TRUE,22,Security Awareness,Asia,Manufacturing
INC050,2024-03-05,Data Exfiltration,Medium,File Share,203.0.113.150,10.0.0.99,Cloud Sync,6.6,TRUE,16,DLP,Europe,Legal
INC051,2024-03-06,DDoS,Critical,E-commerce Platform,198.51.100.160,10.0.0.100,Layer 7 Attack,9.4,TRUE,12,CDN,North America,Retail
INC052,2024-03-07,Malware,High,Point of Sale,192.168.1.180,10.0.0.101,Memory Scraper,8.2,TRUE,28,EDR,South America,Retail
INC053,2024-03-08,Unauthorized Access,Low,Guest WiFi,203.0.113.190,10.0.0.102,Weak Password,4.5,TRUE,4,Network Access Control,Asia,Hospitality
INC054,2024-03-09,Ransomware,Critical,School District,198.51.100.205,10.0.0.103,Phishing Campaign,9.3,TRUE,72,IT Staff,North America,Education
INC055,2024-03-10,Phishing,Medium,Payroll System,192.0.2.220,10.0.0.104,W-2 Scam,7.1,TRUE,10,Finance Department,Europe,Manufacturing
INC056,2024-03-11,Data Breach,High,Medical Records,203.0.113.10,10.0.0.105,Access Control Failure,8.7,TRUE,48,HIPAA Audit,Asia,Healthcare
INC057,2024-03-12,Malware,Critical,Industrial Control,198.51.100.30,10.0.0.106,Stuxnet-like,9.6,FALSE,NULL,SCADA Monitor,Europe,Energy
INC058,2024-03-13,DDoS,Medium,Blog Platform,192.168.1.50,10.0.0.107,Slowloris,6.8,TRUE,8,Hosting Provider,North America,Media
INC059,2024-03-14,SQL Injection,High,Inventory System,203.0.113.70,10.0.0.108,Time-based Injection,7.6,TRUE,24,Code Review,South America,Logistics
INC060,2024-03-15,Insider Threat,High,Source Code Repo,10.0.0.115,10.0.0.109,Code Exfiltration,8.3,TRUE,36,Git Audit,Asia,Technology
INC061,2024-03-16,Ransomware,Critical,City Services,198.51.100.90,10.0.0.110,Triple Extortion,9.8,TRUE,144,Emergency Response,North America,Government
INC062,2024-03-17,Phishing,Low,Newsletter Subscribers,192.0.2.100,10.0.0.111,Fake Survey,3.1,TRUE,4,Email Provider,Europe,Marketing
INC063,2024-03-18,Malware,High,Virtual Desktop,203.0.113.120,10.0.0.112,Remote Access Trojan,8.1,TRUE,20,EDR,Asia,Finance
INC064,2024-03-19,Data Breach,Critical,Voter Database,198.51.100.140,10.0.0.113,SQL Injection,9.5,TRUE,60,Election Security,North America,Government
INC065,2024-03-20,DDoS,High,Streaming Service,192.168.1.170,10.0.0.114,Bandwidth Saturation,8.4,TRUE,7,CDN,Europe,Entertainment
